,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,31.0,349.0,69.0,51.0,0.76,0.31,0.3780487804878049,0.34065934065934067,0.5969800370778366
1,2.0,33.0,332.0,67.0,68.0,0.73,0.33,0.32673267326732675,0.3283582089552239,0.5796985037266733
2,3.0,28.0,343.0,72.0,57.0,0.742,0.28,0.32941176470588235,0.3027027027027028,0.5722102470568728
3,4.0,24.0,330.0,76.0,70.0,0.708,0.24,0.2553191489361702,0.24742268041237112,0.5331406206032079
4,5.0,27.0,336.0,73.0,64.0,0.726,0.27,0.2967032967032967,0.2827225130890052,0.5566888214394345
5,6.0,39.0,346.0,61.0,54.0,0.77,0.39,0.41935483870967744,0.4041450777202073,0.6308209899133874
6,7.0,30.0,346.0,70.0,54.0,0.752,0.3,0.35714285714285715,0.32608695652173914,0.5870630861040067
7,8.0,22.0,338.0,78.0,62.0,0.72,0.22,0.2619047619047619,0.2391304347826087,0.5337809036658141
8,9.0,31.0,332.0,69.0,68.0,0.726,0.31,0.31313131313131315,0.3115577889447236,0.5702607921003268
9,10.0,36.0,338.0,64.0,62.0,0.748,0.36,0.3673469387755102,0.3636363636363636,0.603264565858082
